"CEREAL","BAKEPROD","MEATS","DAIRY","FRSHFRUT","FRSHVEG","PROCFRUT","PROCVEG","SWEETS","NONALBEV","OILS","MISCFOOD","ALCBEV","SMOKSUPP","PET_FOOD","PERSPROD","DRUGSUPP","HOUSKEEP","AGE_REF","BLS_URBN","FAM_SIZE","FAM_TYPE","RACE_REF","HISP_REF"
0,11.1,6.39,3.59,4.71,0,0,1.28,3.7,2.06,0,9.2,33.03,2.16,0,0,0,2.93,56,1,3,2,1,2
5.57,3.49,19.07,13.93,0,1.99,0,0,4.28,2.13,3.45,11.34,18.42249,0,34.47,0,0,26.76,30,1,4,2,1,2
0,4.78,37.61,6.36,4.38,1.99,0,0,0,0,4.6,22.05,16.44865,0,0,0,0,3.21,30,1,4,2,1,2
0,2.99,1.29,5.96,0,0,0,8.18,3,10.56,0,14.48,0,0,0,0,0,0,73,1,1,4,1,2
0,0,1.29,0,0,0,0,0,0,2.97,0,19.96,0,0,0,0,0,0,73,1,1,4,1,2
0,0,0,0,0,0,0,0,0,9.72,0,0,7.5,0,0,0,0,0,52,1,1,4,1,2
7.78,10.49,0,0,0,0,11.98,0,0,3.6,0,19.07,0,0,0,0,0,0,52,1,1,4,1,2
0,0,34.1,7.94,0,0,0,0,7.96,6.34,0,11.67,0,0,0,0,0,1.06,62,1,2,5,1,2
0,10.96,0,5.73,0.48,0,0,0,0,18.52,3.63,13.69,15.51,0,0,8.34,3.5,14.81,62,1,2,5,1,2
4.9554,17.89097,177.68686,19.89406,12.23873,10.90604,0,21.61477,7.75501,16.4978,14.5425,39.04786,0,0,0,0,0,10.96422,39,1,5,2,1,2
4.99,24.61,85.09001,14.47,0,5.58,0,0,10,27.85,5.98,46.56,0,0,7.98,8.4,6.79,8.18,39,1,5,2,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,2,1,1,1
0,0,52.66,7.78,4.01,3.99,3,0,0,3.66,0,6.92,0,0,0,27.82,0,0,82,1,1,4,1,2
6.28,17.44,10.7,8,6.07,1.07,5,1.3,0,0,0,35.4,0,0,7.29216,33.37257,30.87,25.65823,82,1,1,4,1,2
0,15.55,14.09,7.66,4.85,10.29,2.99,7.24,5.79,13.69,5.18,8.17,4,0,0,0,0,26.41,88,1,2,1,1,2
0,3.28,8.48,7.77,5.42,1.29,0,0,4.49,0,0,5.69,3.25,0,0,31.23,16.98,9.49,88,1,2,1,1,2
0,1,7.8,3.98,0,0.78,0,0,0,7.98,0,16.99,0,0,0,0,24.97,0,22,1,3,5,1,2
0,2,0,2.38,0,0,3.98,0,0,5.94,0,16.52,26.72,0,0,0,3.39,10.67,22,1,3,5,1,2
0,25.51,49.42,5.62,0,3.31,14.33,0,4.4,0,0,66.18,11.78,0,0,0,0,0,57,1,2,1,1,2
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,57,1,2,1,1,2
28.47,20.7,76.1,61.65,21.1,26,20.6,0,31.34,39.59,29.47,45.05,22.47,0,10.38,61.09,0,102.16,76,1,1,4,1,2
13.21,24.6,85,39.85,9.6,37.7,7.8,0,34.36,19.79,15.19,37.23,36.86,0,35.09,69.60177,8.6,91.86823,76,1,1,4,1,2
0,8.01694,29.15867,11.2917,6.74676,1.88964,3.98291,4.86947,0,13.01593,5.23325,52.46472,0,0,0,0,4.15132,51.18,88,1,1,4,1,2
7.79,22.20791,4.58,13.27,4.67,1.49,0,0.79,0,7.05209,0,42.31,0,0,0,2.16,0,3.25,88,1,1,4,1,2
3.77,4.52,38.32,7.36,2.95,1.86,2.22,4.42,6.78,15.68,3.23,16.31,0,0,0,0,0,0,55,1,6,2,1,1
3.23,4.18,24.36,21.74,5.07,9.14,8.3253,12.9947,4.72,16.45,1.61,15.32,0,0,0,0,0,21.08,55,1,6,2,1,1
0,0,0,3.76,0,0,0,0,0,0,0,9.4,0,0,0,0,0,21.45568,21,1,1,4,1,2
0.82,1.78,3.78,1.88,0,0,5.44,0,4,0,0,2.92,23.78,0,0,5.19,0,1.77,21,1,1,4,1,2
0,0,9.24,1.63,0,12.25,0,0,0,0,0,22.32,69.54768,0,38.03,0,144.32082,0,61,1,2,1,1,2
0,1.47,22.32,5.28,0,0,0,1.8,0,0,0,0,0,0,0,8.67,33.95387,0,61,1,2,1,1,2
0,20.27,0,39.96,11.56,7.61,0,9.88,0,6.58,0,66.61,0,0,0,0,0,34.5,32,1,4,2,1,2
1.02,4.12,0,4.3,10.32,15.13,0,0,4.1,25.25,3.9,31.75,0,0,0,3.08,218.35,27.13,32,1,4,2,1,2
10.96,5.52,26.22,0,1.08,42.90796,0,0,0.84,3.39674,4.16,49.3853,0,0,0,0,26.13,84.28,60,1,2,1,1,2
2.65,6.64,13.57,8.09,0,4.51,0,0.47,8.56,0,4.37,18.2,8.35,0,0,4.21,10.66,48.76,60,1,2,1,1,2
